LIB,Filename,Entry-point,1,2,2-s,3,3-s,1+2,1+2_s,1+3,1+3_s,1+2+3,loc,all-sens pos,ct-verify pass?,Taint pass?,taint res,High taint pass?,Is_high_taint_1_2_pass
Mbed-tls,constant_time_primitive,mbedtls_ct_uint_mask,0.07415556907653809,7.171277284622192,6.797656297683716,6.873822212219238,6.849113702774048,0.07207965850830078,0.07273983955383301,0.07331609725952148,0.07047080993652344,0.06856536865234375,42,0,Verified!,Verified!,0,Verified!,Verified!
Mbed-tls,constant_time_primitive,mbedtls_ct_base64_enc_char,0.06868839263916016,7.118845224380493,7.034848213195801,7.0601487159729,7.03623628616333,0.0751957893371582,0.07803082466125488,0.07799291610717773,0.06609535217285156,0.06557250022888184,249,0,Verified!,Verified!,0,Verified!,Verified!
Mbed-tls,constant_time_primitive,mbedtls_ct_size_mask_lt,0.07196450233459473,7.021056175231934,6.9194252490997314,6.816483497619629,6.855615615844727,0.07632613182067871,0.07701539993286133,0.0693814754486084,0.07059216499328613,0.07750487327575684,24,0,Verified!,Verified!,0,Verified!,Verified!
Mbed-tls,constant_time_primitive,mbedtls_ct_mpi_uint_mask,0.07801270484924316,6.929203033447266,6.854252099990845,6.845844984054565,6.8544182777404785,0.0658111572265625,0.07133221626281738,0.07468628883361816,0.07090640068054199,0.07014894485473633,42,0,Verified!,Verified!,0,Verified!,Verified!
Mbed-tls,constant_time_primitive,mbedtls_ct_size_mask_ge,0.08241510391235352,6.813290357589722,6.958820581436157,6.984952688217163,6.8101725578308105,0.07264256477355957,0.06460165977478027,0.0708012580871582,0.07863354682922363,0.07367944717407227,92,0,Verified!,Verified!,0,Verified!,Verified!
Mbed-tls,constant_time_primitive,mbedtls_ct_memcmp,0.07367444038391113,6.847289800643921,6.986218452453613,6.906916379928589,7.022343635559082,0.0808250904083252,0.07928991317749023,0.06765437126159668,0.0817418098449707,0.07236504554748535,145,7,Verified!,Verified!,0,Verified!,Verified!
Mbed-tls,constant_time_primitive,mbedtls_ct_mpi_uint_cond_assign,0.06410026550292969,6.3259992599487305,6.575887680053711,6.458395957946777,6.494479179382324,0.07812118530273438,0.07803988456726074,0.07829976081848145,0.07935476303100586,0.07330799102783203,140,4,Verified!,Verified!,0,Verified!,Verified!
Mbed-tls,constant_time_primitive,mbedtls_ct_memcpy_offset,0.07771706581115723,6.420708179473877,6.695788860321045,6.634140253067017,6.736652612686157,0.07337188720703125,0.07645368576049805,0.07482504844665527,0.08142209053039551,0.07701277732849121,290,5,Verified!,Verified!,0,Verified!,Verified!
Mbed-tls,constant_time_primitive,mbedtls_ct_size_bool_eq,0.0715184211730957,6.5993523597717285,6.942765235900879,6.88966178894043,6.884308099746704,0.07768106460571289,0.07782888412475586,0.0729372501373291,0.07347440719604492,0.06796860694885254,61,0,Verified!,Verified!,0,Verified!,Verified!
Mbed-tls,constant_time_primitive,mbedtls_ct_base64_dec_value,0.07030773162841797,6.816301345825195,7.095111846923828,6.998990058898926,7.025747776031494,0.07722997665405273,0.07693910598754883,0.0736391544342041,0.07149410247802734,0.06327939033508301,309,0,Verified!,Verified!,0,Verified!,Verified!
Mbed-tls,constant_time_primitive,mbedtls_ct_size_mask,0.07732105255126953,6.707441329956055,6.95553994178772,6.959257364273071,6.914794921875,0.08169674873352051,0.0797281265258789,0.07497811317443848,0.07816696166992188,0.06884598731994629,47,0,Verified!,Verified!,0,Verified!,Verified!
